Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500015054,Martha VanLieshout,"Meadows, Mark",NC,11,2016,"Tindouf, Algeria",Original,1/14/2016,1/21/2016,Defense Forum Foundation and the Algerian National Committee of Solidarity with the Sahrawi People (
500015055,Jason Knox,"Bishop, Rob",UT,1,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015056,David B. Stewart,"Brady, Kevin",TX,8,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015057,Nate Hodson,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015058,Mattie Duppler,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015059,Evan McMullin,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015060,Kara Hauck,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015061,Pam Stevens,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015062,Sarah Rogers,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015063,Jeremy Deutsch,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015064,Rebecca Mark,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015065,Nick Crocker,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015066,F. James Sensenbrenner,"Sensenbrenner, F.",WI,5,2016,"Tokyo, Japan",Original,1/18/2016,1/21/2016,US-Japan-South Korea Legislative Exchange Program at George Washington University under a grant from
500015067,David Peluso,"McMorris Rodgers, Cathy",WA,5,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015068,Christian Morgan,"Wagner, Ann",MO,2,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015069,Thomas P. Sheehy,"Royce, Edward",CA,39,2016,"Baltimore, MD",Original,1/13/2016,1/14/2016,The Congressional Institute
500015070,Ryan White,"Schweikert, David",AZ,6,2016,"Tunis, Tunisia",Original,1/10/2016,1/17/2016,Legacy International
500015071,Jennifer A. Hemingway,"Chaffetz, Jason",UT,3,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015072,"Henry C. ""Hank"" Johnson","Johnson, Henry",GA,4,2016,"Tokyo, Japan",Original,1/18/2016,1/22/2016,US-Japan-South Korea Legislative Exchange Program at George Washington University
500015073,Will Dunham,"Flores, Bill",TX,17,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015074,Timothy Berry,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015075,Danielle Burr,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015076,Barrett Karr,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015077,Matthew Kellogg,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015078,James Min,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015079,Michael Long,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015080,Emily Murry,"McCarthy, Kevin",CA,23,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015081,Shelley H. Husband,"Goodlatte, Bob",VA,6,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015082,Robert L. Simmons II,"Thornberry, Mac",TX,13,2016,"Baltimore, MD",Original,1/13/2016,1/15/2016,The Congressional Institute
500015084,Timothy D. Hysom,"Lowenthal, Alan",CA,47,2016,"Algiers, Algeria",Original,1/14/2016,1/25/2016,"Defense Forum Foundation, Algerian National Committee of Solidarity with the Saharawi People"
500015084,Timothy D. Hysom,"Lowenthal, Alan",CA,47,2016,"Tindouf, Algeria",Original,1/14/2016,1/25/2016,"Defense Forum Foundation, Algerian National Committee of Solidarity with the Saharawi People"
500015085,Brenda L. Lawrence,"Lawrence, Brenda",MI,14,2016,"Atlanta, GA",Original,1/21/2016,1/24/2016,Trumpet Awards Foundation
500015086,Corrine Brown,"Brown, Corrine",FL,5,2016,"Atlanta, GA",Original,1/22/2016,1/24/2016,Trumpet Awards Foundation
