Doc ID,Filer Name,Member Name,State,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500010964,Ileana Ros-Lehtinen,"Ros-Lehtinen, Ileana",FL,27,2014,"Boca Raton, FL",Original,1/27/2014,1/27/2014,Development Corporation for Israel
500010965,Richard Kirk McPike,"Takano, Mark",CA,41,2014,"Tokyo, Japan",Original,1/18/2014,1/25/2014,U.S. Association of Former Members of Congress
500010966,Jim McDermott,"McDermott, Jim",WA,7,2014,"Tokyo, Japan",Original,1/18/2014,1/23/2014,US-Japan-South Korea Legislative Exchange program at GW University under a grant from the Japan/US
500010967,Glen Downs,"Jones, Walter",NC,3,2014,"Tokyo, Japan",Original,1/18/2014,1/24/2014,U.S.  Association of Former Members of Congress
500010970,Lawrence Brady,"Issa, Darrell",CA,49,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500010971,Hugh Nathanial Halpern,"Sessions, Pete",TX,32,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010972,Patrick Leopold,"Jenkins, Lynn",KS,2,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010973,Grace Koh,"Upton, Fred",MI,6,2014,"New York, NY",Original,1/26/2014,1/27/2014,Practising Law Institute
500010974,Juliane Carter Sullivan,"Kline, John",MN,2,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010975,Warren Payne,"Camp, Dave",MI,4,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010978,Mike Long,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010979,Mike Franc,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010980,Kelly Dixon,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010981,Natalie Buchanan,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010982,Tim Berry,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010983,Brian Worth,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010984,John Stipicevic,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010985,Emily Murry,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Insitute
500010986,James Min,"McCarthy, Kevin",CA,23,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010987,Randy Swanson,"Lankford, James",OK,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Insitute
500010989,Brandon Renz,"Foxx, Virginia",NC,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010990,Jeremy B. Harrell,"Gosar, Paul",AZ,4,2014,"Las Vegas, NV",Original,1/6/2014,1/8/2014,Consumer Electronics Association
500010997,Shaughnessy Murphy,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010998,Emily E. Leviner,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500010999,Riva Litman,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011000,Nicolas Muzin,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011001,Phillip R. Pinegar,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011002,Amy Reagan,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011003,Abigail Alger,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011004,Kimberly S. Betz,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011005,Jeremy Deutsch,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011006,Joel Graves,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,Congressional Institute
500011007,Nathan Hodson,"McMorris Rodgers, Cathy",WA,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011008,Lori Ring,"Graves, Sam",MO,6,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011010,Gary Andres,"Upton, Fred",MI,6,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011011,Jennifer Y. Brown,"Smith, Lamar",TX,21,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011012,Christian Morgan,"Wagner, Ann",MO,2,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011013,Todd Young,"Hastings, Doc",WA,4,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011014,Andrew Stevens Kent,"Dent, Charles",PA,15,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011015,Augustine Smythe,"Ryan, Paul",WI,1,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011017,Doug Heye,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011018,Amy Barrera,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/30/2014,1/31/2014,The Congressional Institute
500011019,Kristi Way,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011020,Rob Borden,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011021,Christopher Vieson,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Amendment,1/30/2014,1/31/2014,The Congressional Institute
500011022,Rory Cooper,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011023,Steve Stombres,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011024,Neil Bradley,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011025,Katie Patru,"Cantor, Eric",VA,7,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011026,Jonathan Hayes,"Southerland, Steve",FL,2,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Insitute
500011027,William Smith,"Rogers, Harold",KY,5,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011028,Shelley Husband,"Goodlatte, Bob",VA,6,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
500011029,Christopher P. Bertram,"Shuster, Bill",PA,9,2014,"Cambridge, MD",Original,1/29/2014,1/31/2014,The Congressional Institute
