DocID,FilerName,MemberName,Sate,District,Year,Destination,Filing Type,Departure Date,Return Date,Travel Sponsor
500017310,Emily Slack,"Foxx, Virginia",NC,5,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute (PNPI)
500017311,Amy Jones,"Foxx, Virginia",NC,5,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute (PNPI)
500017312,Emmanual Guillory,"Foxx, Virginia",NC,5,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute (PNPI)
500017313,Paloma Isabel Villareyes-Perez,"Veasey, Marc",TX,33,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017314,Jenny Prescott,"Foxx, Virginia",NC,5,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute (PNPI)
500017315,Ken Buck,"Buck, Ken",CO,4,2017,"San Diego, CA",Original,4/21/2017,4/22/2017,The Heritage Foundation
500017316,Tola Thompson,"Lawson, Al",FL,5,2017,"Las Vegas, NV",Original,4/22/2017,4/25/2017,National Association of Broadcasters
500017318,Gregory Watson,"Scalise, Steve",LA,1,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017319,Scott L Glabe,"Nunes, Devin",CA,22,2017,"Palo Alto, CA",Original,4/18/2017,4/20/2017,Hoover Institution
500017320,Scott C Walker,"Lowenthal, Alan",CA,47,2017,"Boston, MA",Original,4/19/2017,4/21/2017,Massachusetts Institute of Technology
500017321,Brandon Casey,"Neal, Richard",MA,1,2017,"Berlin, Germany",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017321,Brandon Casey,"Neal, Richard",MA,1,2017,"Brussels, Belgium",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017321,Brandon Casey,"Neal, Richard",MA,1,2017,"Paris, France",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017322,Jay Kronzer,"Brat, Dave",VA,7,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017323,Rosalind Jackson,"Conyers, John",MI,13,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017324,William McGrath,"Chaffetz, Jason",UT,3,2017,"Boston, MA",Original,4/19/2017,4/21/2017,Massachusetts Institute of Technology
500017325,Barry Smith,"Mast, Brian",FL,18,2017,"Key Largo, FL",Original,4/12/2017,4/15/2017,The Everglades Foundation
500017325,Barry Smith,"Mast, Brian",FL,18,2017,"Miami, FL",Original,4/12/2017,4/15/2017,The Everglades Foundation
500017326,Angeline M. Jabbar,"Plaskett, Stacey",VI,0,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017327,Noah Marine,"Perlmutter, Ed",CO,7,2017,"New York, NY",Original,5/4/2017,5/5/2017,Depository Trust and Clearing Corporation
500017328,Tanner Daniel,"Scott, David",GA,13,2017,"New York, NY",Original,5/4/2017,5/5/2017,Despository Trust and Clearing Company
500017329,Danny Davis,"Davis, Danny",IL,7,2017,"Shreveport, LA",Original,4/24/2017,4/25/2017,Re-Entry Alliance for Louisiana
500017330,Gerald Leverich,"Pallone, Frank",NJ,6,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017331,Kerry A. Kinirons,"McCaul, Michael",TX,10,2017,"Boston, MA",Original,4/19/2017,4/21/2017,Massachusetts Institute of Technology
500017333,Miles Chiotti,"Davis, Rodney",IL,13,2017,"Las Vegas, NV",Amendment,1/5/2017,1/7/2017,Consumer Technology Association
500017334,Peter Rivera,"Davidson, Warren",OH,8,2017,"New York, NY",Original,5/4/2017,5/5/2017,The Depository Trust and Clearing Corportation
500017335,Stoney Burke,"Hurd, Will",TX,23,2017,"Las Vegas, NV",Amendment,1/6/2017,1/8/2017,Consumer Technology Association
500017336,Wilsar Johnson,"Watson Coleman, Bonnie",NJ,12,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017337,Katherine Preston Cory,"DesJarlais, Scott",TN,4,2017,"New York, NY",Amendment,3/5/2017,3/6/2017,United Nations Foundation
500017338,Moira Bergin,"Thompson, Bennie",MS,2,2017,"Boston, MA",Original,4/19/2017,4/21/2017,Massachusetts Institute of Technology
500017339,Scott Luginbill,"Walker, Mark",NC,6,2017,"New York, NY",Amendment,2/8/2017,2/10/2017,Heritage Foundation
500017340,Robin Kelly,"Kelly, Robin",IL,2,2017,"New York, NY",Original,4/30/2017,5/1/2017,United Nations Foundation
500017341,Cheri Bustos,"Bustos, Cheri",IL,17,2017,"New York, NY",Original,4/30/2017,5/1/2017,United Nations Foundation
500017342,Scott Shewcraft,"Foster, Bill",IL,11,2017,"New York, NY",Original,5/4/2017,5/6/2017,Depository Trust and Clearing Corporation
500017343,Barbara Lee,"Lee, Barbara",CA,13,2017,"New York, NY",Original,4/30/2017,5/1/2017,United Nations Foundation
500017344,Chellie Pingree,"Pingree, Chellie",ME,1,2017,"New York, NY",Original,4/28/2017,5/1/2017,United Nations Foundation
500017346,Gable Brady,"Barton, Joe",TX,6,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017347,Gable Brady,"Barton, Joe",TX,6,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017348,Daniel McArn Bennett,"Rice, Tom",SC,7,2017,"Aiken, SC",Original,4/19/2017,4/22/2017,SRS Community Reuse Organization
500017349,Jason Cooke,"Holding, George",NC,2,2017,"Durham, NC",Original,4/14/2017,4/19/2017,Duke University Health System
500017350,Val Demings,"Demings, Val",FL,10,2017,"New York, NY",Original,4/30/2017,5/1/2017,United Nations Foundation
500017351,Diana DeGette,"DeGette, Diana",CO,1,2017,"New York, NY",Original,5/1/2017,5/1/2017,United Nations Foundation
500017353,Meghan Stringer,"Foxx, Virginia",NC,5,2017,"Las Vegas, NV",Original,4/23/2017,4/25/2017,National Association of Broadcasters
500017354,Mary Amanda Keifer,"Lee, Barbara",CA,13,2017,"New York, NY",Original,4/30/2017,5/1/2017,United Nations Foundation
500017355,Yul Edwards,"Davis, Danny",IL,7,2017,"Las Vegas, NV",Original,4/22/2017,4/25/2017,National Association of Broadcasters
500017356,Dane Hudson,"Rosen, Jacky",NV,3,2017,"Las Vegas, NV",Original,4/24/2017,4/24/2017,National Association of Broadcasters
500017357,Daniel Hervig,"Conyers, John",MI,13,2017,"Dublin, Ireland",Original,4/17/2017,4/20/2017,Woodrow Wilson International Center for Scholars
500017358,Jaclyn Cahan,"Lynch, Stephen",MA,8,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017359,Christian Jorgenson,"Tipton, Scott",CO,3,2017,"New York, NY",Original,5/4/2017,5/5/2017,Despository Trust and Clearing Corporation
500017360,Jacque Chevalier,"Scott, Robert",VA,3,2017,"Warrenton, VA",Original,4/19/2017,4/20/2017,Postsecondary National Policy Institute
500017361,John Witherspoon,"Roe, David",TN,1,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017362,Judd Smith,"Marino, Tom",PA,10,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017363,Shashrina Thomas,"Sewell, Terri",AL,7,2017,"Berlin, Germany",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017363,Shashrina Thomas,"Sewell, Terri",AL,7,2017,"Brussels, Belgium",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017363,Shashrina Thomas,"Sewell, Terri",AL,7,2017,"Paris, France",Original,4/17/2017,4/22/2017,Progressive Policy Institute
500017364,"Rodolfo ""Rudy"" Soto","Torres, Norma",CA,35,2017,"Warrenton, VA",Original,5/6/2017,5/7/2017,Partnership for a Secure America
500017365,Nicholas Uehlecke,"Brady, Kevin",TX,8,2017,"Orlando, FL",Original,4/23/2017,4/25/2017,American Telemedicine Association
