,Doc.ID,Filer.Name,Member.Name,State,District,Year,Destination,Filing.Type,Departure.Date,Return.Date,Travel.Sponsor
4273,500011465,Jessica Vanden Berg,"Gabbard, Tulsi",HI,2,2014,"Jerusalem, Israel",Original,2014-03-22,2014-03-30,AIEF
4274,500011465,Jessica Vanden Berg,"Gabbard, Tulsi",HI,2,2014,"Tel Aviv, Israel",Original,2014-03-22,2014-03-30,AIEF
4275,500011466,Lynnel Ruckert,"Scalise, Steve",LA,1,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,AIEF
4276,500011466,Lynnel Ruckert,"Scalise, Steve",LA,1,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,AIEF
4277,500011466,Lynnel Ruckert,"Scalise, Steve",LA,1,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,AIEF
4278,500011467,Theodore Edgar Maness,"Nunnelee, Alan",MS,1,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4279,500011467,Theodore Edgar Maness,"Nunnelee, Alan",MS,1,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4280,500011467,Theodore Edgar Maness,"Nunnelee, Alan",MS,1,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4281,500011468,Kristin Nicholson,"Langevin, James",RI,2,2014,"HaGoshrim, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4282,500011468,Kristin Nicholson,"Langevin, James",RI,2,2014,"Jerusalem, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4283,500011468,Kristin Nicholson,"Langevin, James",RI,2,2014,"Tel Aviv, Israel",Original,2014-03-15,2014-03-23,American Israel Education Foundation (AIEF)
4284,500011473,Barbara Lee,"Lee, Barbara",CA,13,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute
4285,500011474,Jirair Ratevosian,"Lee, Barbara",CA,13,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute
4286,500011475,James E. Clyburn,"Clyburn, James",SC,6,2014,"New York, NY",Original,2014-03-30,2014-04-01,The Humpty Dumpty Institute
4287,500011476,Daniel Tidwell,"Aderholt, Robert",AL,4,2014,"Elkton, MD",Amendment,2014-02-24,2014-02-24,Fuel Cell and Hydrogen Energy Association
4288,500011476,Daniel Tidwell,"Aderholt, Robert",AL,4,2014,"Newark, DE",Amendment,2014-02-24,2014-02-24,Fuel Cell and Hydrogen Energy Association
4289,500011477,Kwame Canty,"Fudge, Marcia",OH,11,2014,"New York, NY",Original,2014-03-31,2014-04-01,The Humpty Dumpty Institute
4290,500011478,Mick Mulvaney,"Mulvaney, Mick",SC,5,2014,"Richmond, VA",Amendment,2014-02-06,2014-02-08,The Heritage Foundation
